Gene,Day -4,Day -3,Day -2,Day -1,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 13
ARRDC3,2.23223,1.20206,0.440675,1.15342,0.364712,0.0567724,-0.230573,0.106569,-0.705658,-0.976582,-0.0476444,-0.690183,-0.411738,-0.682711,-1.81135
ASCC1,1.86169,1.39766,1.12689,0.357116,0.514464,0.323605,0.301569,0.103963,-0.233624,-0.32958,-0.71501,-1.21796,-0.990995,-0.776749,-1.72303
ATF3,1.63896,1.14202,1.07792,0.685389,1.13449,0.292611,-0.0236303,-0.915517,-0.711149,-0.292655,-1.08206,-1.52944,-0.879678,-1.02589,0.488631
ATF7IP,1.97552,2.00677,1.14338,0.453973,-0.379505,-0.341656,-0.499098,-0.834997,-0.441746,-0.320948,-0.131246,0.119457,-1.02755,-1.35156,-0.370789
ATG4A,2.09048,1.00543,1.23903,0.777968,0.103116,-0.374437,0.290114,0.265964,-0.21764,-0.042371,-0.282996,-1.19851,-1.29697,-1.4462,-0.912975
ATG4C,2.15658,1.01034,0.898156,-0.331945,-0.269676,-0.513987,-0.0525295,0.149118,0.225513,0.65569,0.108534,-1.01409,0.0859406,-0.965372,-2.14227
ATL1,1.79226,1.06693,1.12849,0.766415,0.233629,0.857465,-0.156804,-0.062189,-0.59618,-0.424877,-0.376411,-0.998393,-1.32724,-1.87984,-0.0232541
ATP1B1,2.91588,0.625393,-0.00608108,0.0512998,-0.393906,0.141783,-0.815111,0.0235668,0.0212775,0.316249,-0.524763,0.0960657,0.0301574,-0.609264,-1.87255
ATP2C1,2.18864,1.23063,0.896765,0.631656,0.457637,0.196703,-0.0817049,0.267317,-0.713874,-0.421518,-0.338953,-1.20526,-0.696907,-1.71482,-0.696318
ATP5D,1.8866,1.33238,1.53755,0.21922,0.11569,-0.0679308,0.129454,0.207127,0.141167,-0.17314,-0.607533,-1.14061,-1.04673,-1.54178,-0.991463
ATP5J2,2.37688,1.06972,1.07386,1.00576,0.115681,-0.367574,-0.249236,0.0604763,-0.0517091,-0.6734,-0.326662,-0.908543,-1.24657,-1.18446,-0.694225
AVPI1,2.25481,0.209108,1.00972,0.437045,0.701732,0.0758959,-0.17634,-0.695511,0.398851,-0.92663,-1.26867,-1.02449,-0.559146,0.914034,-1.35042
AVPR1A,2.39942,1.23458,0.81442,0.653437,0.693622,0.284711,-0.506578,-0.419029,-0.477975,-0.344153,-0.659938,-0.822082,-0.699675,-0.643342,-1.50741
AXL,2.17745,1.66976,0.56772,0.613515,0.647099,-0.116721,-1.0194,-0.685291,-0.678196,-0.95229,-0.0231064,-0.681007,-1.12208,-0.773867,0.376414
AZI2,1.94538,1.33702,0.845579,0.760888,0.974695,0.121821,0.116178,-0.0827453,-0.483512,-0.367786,-0.890038,-1.24466,-0.585292,-0.99952,-1.448
B4GALT4,1.60985,1.42605,1.09091,0.386746,0.90394,0.630439,0.256009,-0.355136,-0.711884,-0.176098,-0.625458,-0.667073,-1.67107,-1.41141,-0.685826
BATF2,2.4558,0.414926,-0.117655,0.945454,0.737282,0.912618,0.172325,-0.240426,-0.719096,-0.266052,-0.77746,-0.669737,-1.37863,-1.36879,-0.100555
BBX,1.81956,1.38592,0.939773,0.776799,0.249796,0.672071,0.112062,0.10679,-0.274268,-0.499082,-0.391201,-1.10974,-1.41722,-1.51348,-0.857772
BCAS2,2.06741,0.62951,0.955826,0.90785,-0.0409644,0.036734,-0.0179494,0.600645,0.283527,-0.171175,-0.0820382,-0.982019,-1.00665,-1.78402,-1.39669
BET1,0.535953,2.02973,1.43983,0.143424,0.765465,0.404872,-0.91127,-0.459065,-1.02894,0.185066,-0.406815,-1.35071,-0.998044,-1.06024,0.710744
BEX4,2.61709,0.929631,1.05107,0.284483,0.01047,0.169568,-0.209243,-0.528255,-0.977751,0.347268,0.0173503,-0.661966,-1.14245,-1.18835,-0.71891
BIRC3,2.31837,1.43077,1.38894,0.328189,-0.197256,-0.247098,-0.468444,0.382882,-0.901476,-0.360983,-0.422453,-0.368674,-0.782646,-1.04873,-1.0514
BLVRA,1.97693,1.22734,1.15546,0.853217,0.72721,0.292026,0.0104901,-0.285921,-0.348576,-0.696866,-0.775516,-0.950556,-0.765148,-0.893559,-1.52654
BLZF1,1.78541,1.60764,0.77251,0.880603,0.855074,0.488574,-0.0235874,-0.213001,-0.568072,-0.833651,-0.629091,-1.1045,-0.760836,-1.329,-0.92807
BMPR2,1.53201,0.936446,1.40072,0.638736,0.791736,0.662434,0.388895,-0.0377175,-0.369041,-0.458375,-0.671418,-0.692335,-1.42156,-1.69953,-1.00102
BRCA2,2.1814,1.58953,0.874596,0.357541,0.42018,0.153769,-0.336728,0.192433,-0.116539,-0.479222,-0.779749,-0.89432,-0.894562,-1.60722,-0.661112
BRD7,2.10471,1.12418,1.17458,0.613928,0.689374,0.223145,-0.324182,0.147065,-0.298615,-0.624074,-0.378417,-0.683168,-1.08345,-1.46686,-1.21821
BRF2,1.77142,1.13547,1.06186,1.02037,-0.307379,-0.0914618,-0.0319058,-0.0280338,-0.0961299,-0.915064,0.0810002,-0.019494,-1.18336,-0.156526,-2.24077
BST2,2.22422,1.33157,0.815234,0.726974,0.673993,0.4007,0.0232518,-0.179888,-0.493003,-0.671372,-0.820875,-1.08413,-0.99628,-0.948851,-1.00154
BTK,2.07716,1.07123,0.835813,0.30523,0.55369,0.694691,0.325968,-0.0505018,-0.257876,-0.761709,-0.512049,-1.02753,-1.5869,-1.53196,-0.13526
BUD31,1.65584,1.70928,1.02739,1.09707,0.143028,0.431875,-0.109213,-0.108413,-0.445868,-0.304359,-0.662117,-0.994412,-0.819993,-1.20225,-1.41786
C10orf10,2.40344,1.7673,0.956618,0.585752,0.0232373,-0.271401,-0.52094,-0.801754,-0.245979,-0.623543,-0.53264,-0.43526,-0.747707,-1.06109,-0.49604
C10orf25,2.13382,0.811063,1.34875,0.27147,0.50147,0.715215,-0.299873,0.0370084,-0.686168,-0.447113,-0.097261,-0.813075,-1.35232,-1.61748,-0.505505
C15orf65,0.797385,0.851545,0.490959,1.82759,1.52314,0.761977,-0.329446,-0.443364,-0.215605,-0.689118,-1.08049,-1.71245,-0.87876,-0.610873,-0.292478
C16orf13,2.43725,0.709186,1.22886,0.611396,-0.222106,-0.0431113,-0.0944895,-0.0506095,0.0567218,-0.0562167,-0.441426,-0.619525,-1.19006,-0.490566,-1.8353
C16orf87,1.63424,1.54467,1.36321,0.764455,0.258625,0.394263,-0.495312,0.168295,-0.0994791,-0.204139,-0.887415,-1.35601,-0.921564,-1.34299,-0.820845
