Gene,Day -4,Day -3,Day -2,Day -1,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 13
UQCRFS1,2.59058,0.561471,0.835062,0.512051,0.0479106,-0.134453,-0.12114,0.328672,-0.0415581,0.179836,-0.284117,-0.951831,-0.579299,-1.16864,-1.77454
USO1,1.65885,0.970381,1.12233,0.388497,0.287966,0.332756,0.175863,0.650823,0.243405,0.0274591,-0.457348,-0.786061,-1.19129,-1.91307,-1.51055
USP25,1.63544,1.61758,0.71279,0.991049,0.962711,0.556078,-0.0117367,-0.228033,-0.648678,-0.76428,-0.858208,-1.00415,-0.608444,-1.3246,-1.02752
USP30,1.692,1.69779,1.1798,0.502961,-0.0187965,0.403143,0.369129,0.198878,-0.975224,-0.380918,-0.383241,-0.68351,-0.993369,-1.01139,-1.59724
USP33,0.851443,1.29026,0.379648,-0.321116,1.73137,1.47335,0.400993,-0.793304,-0.752697,-0.920444,-1.24939,-1.02749,0.347003,-1.06541,-0.34422
USP47,2.0193,1.10422,1.11921,0.552684,0.247742,0.362415,0.132147,-0.0962633,-0.185362,-0.461728,-0.80139,-1.04604,-1.63631,-1.49353,0.182891
USPL1,2.16914,1.92252,1.00414,0.505482,-0.0102057,-0.271069,-0.289286,-0.0283413,-0.761766,-0.780059,-0.267876,-0.636087,-1.06184,-1.1128,-0.381956
UTP4,1.85969,1.22561,1.43877,0.391186,0.0552891,-0.596031,0.00512351,0.584008,0.217135,-0.0910154,-0.553926,-0.885175,-1.65787,-1.34063,-0.652175
VAMP2,0.464512,2.4353,1.01707,0.660251,0.114211,0.0224568,-0.806948,-0.359642,-0.193063,-0.874375,-0.702734,-1.07314,-1.57596,0.0632349,0.808824
VAMP4,1.80629,1.63844,1.29282,0.455603,-0.104754,-0.0706927,-0.32477,-0.634043,-1.04604,-0.628748,-0.611938,-1.10566,-0.254258,-1.30483,0.892584
VAMP5,2.27908,0.756592,1.11705,0.415762,0.743493,0.512182,0.221725,-0.276147,-0.665711,-0.997676,-0.839298,-1.12929,-1.02201,-1.18516,0.0694207
VANGL1,2.22283,1.34989,0.994567,0.486186,-0.734612,-0.191786,-0.079236,-0.154825,-0.263177,-0.00265452,-0.507845,-0.21798,-0.482625,-0.241942,-2.17679
VEGFC,1.90219,0.879574,0.360063,1.29526,0.147998,1.06947,-1.20823,0.132972,-0.333193,0.427471,-0.710666,-0.751585,-0.983658,-0.698479,-1.52918
VIPAS39,1.50032,1.27669,0.872516,0.591124,0.724917,0.756352,0.311571,0.101154,-0.403136,-0.252925,-0.442224,-0.602852,-1.24044,-2.03326,-1.15982
VPREB3,1.41857,0.711993,2.02087,0.699532,-0.206685,-0.470183,-0.164953,0.681902,-0.0714778,-0.430414,-0.393144,-0.389564,-0.702874,-0.484012,-2.21957
VPS26A,2.64302,1.1192,0.953072,0.215918,0.110902,-0.176992,-0.0228334,-0.210265,-0.284931,-0.6918,-0.76119,-0.779883,-0.695938,-1.56966,0.151378
VRK2,2.05555,1.45712,0.837438,0.846903,0.627352,0.217987,0.0870052,-0.0990513,-0.525796,-0.399377,-0.988938,-1.04396,-0.7542,-1.24629,-1.07174
VWA5A,1.35661,0.584905,0.774811,1.16295,0.611363,0.703689,0.453856,0.310806,0.0157744,-0.0346376,-0.412219,-1.35648,-1.6767,-1.86326,-0.631464
VWA7,1.31119,0.86787,0.905373,0.632016,1.53916,0.789638,-0.81819,0.501077,-0.0478224,-0.607518,-0.996621,-0.786335,-1.82698,-0.77937,-0.683496
WDFY1,2.34738,1.01847,0.848913,0.578667,0.524688,0.670778,0.222634,-0.294741,-0.431665,-0.948645,-0.66564,-0.73632,-0.692349,-1.25556,-1.18661
WDR36,1.62889,1.37109,1.49361,0.537631,0.309353,-0.25766,-0.208124,0.343818,0.194021,-0.23299,-0.143693,-1.09209,-1.52254,-1.39575,-1.02558
WDR44,1.75314,1.35612,1.3024,0.838841,0.424299,0.476867,0.330711,-0.376005,-0.701563,-0.702889,-0.399825,-0.999429,-0.824124,-1.49774,-0.980805
WDR48,2.24198,1.35193,0.7507,0.702564,0.322642,0.0282971,-0.795133,-0.103778,-0.638582,-0.277668,0.164209,-0.341888,-1.12452,-0.489761,-1.79099
WNT5B,2.55392,0.329796,0.479333,-0.00499618,0.221114,-0.318108,-0.707054,-0.197255,0.448226,-0.085411,-0.521,-0.052106,-0.179127,0.430619,-2.39795
XAF1,1.74188,1.25085,0.943087,0.91741,0.78492,0.732332,0.273706,-0.0949113,-0.49111,-0.86948,-0.953542,-0.885598,-1.13908,-1.0694,-1.14106
XIRP2,1.82617,1.68711,1.12453,0.688004,0.646748,0.378234,-0.0168233,-0.586858,-0.414914,-0.808821,-1.12101,-0.584899,-1.09188,-1.04803,-0.67757
XPNPEP1,2.17996,0.937136,1.19154,0.822136,0.640843,0.24873,0.0851978,-0.0937201,-0.503109,-0.676635,-0.47048,-0.853465,-1.28989,-1.12414,-1.09411
XPO1,2.51659,1.31206,0.857269,0.601641,0.294855,-0.038349,-0.136235,-0.119555,-0.446827,-0.811371,-0.50831,-0.314373,-0.923171,-0.98271,-1.30152
XRN1,1.96938,1.10759,0.499824,0.895407,1.11958,0.767375,-0.152428,-0.439557,-0.960657,-0.933916,-0.822282,-0.679433,-0.96165,-1.38795,-0.0212858
XXYLT1-AS2,1.69159,1.68919,1.44795,0.560618,0.401155,-0.427141,-0.550263,-0.319539,-0.789704,-0.493214,-0.967432,-0.925548,-1.14639,-0.83986,0.668603
YRDC,1.35865,1.04315,1.84024,0.868571,0.103058,0.517578,-0.869246,-0.146419,0.288348,0.282198,-1.10347,-1.18559,-1.00036,-0.787081,-1.20964
ZBTB2,1.80254,1.3156,1.73315,0.53606,-0.212409,0.116956,-0.286804,0.412157,-0.498413,-0.291488,-0.257953,-0.990545,-1.40575,-1.22547,-0.74763
ZBTB33,2.25143,1.07252,1.33247,0.848087,-0.0834199,-0.104725,-0.740866,-0.0921293,-0.500027,-0.294214,-0.758766,-0.830199,-1.28116,-1.16197,0.342972
ZBTB41,2.05605,1.57432,1.44792,0.779855,-0.127689,-0.720451,-0.913119,0.0945905,-0.0735516,-0.268686,-0.531154,-1.02737,-0.749754,-0.617463,-0.923494
ZBTB6,1.58078,1.90678,1.32233,0.748244,0.526583,-0.201748,-0.0277928,-0.0232673,-0.706912,-0.754796,-0.492716,-1.31992,-0.864005,-0.883049,-0.810511
ZC3H12C,2.98015,1.11005,0.45423,0.306172,0.104838,-0.268053,-0.613922,-0.39186,-0.526155,-0.237439,-0.435198,-0.231524,-1.19488,-0.981628,-0.0747854
ZC3HAV1L,2.39774,1.23182,0.613106,0.446399,0.307409,0.481444,-0.30297,0.0398635,-0.297968,-0.0884983,-0.342825,-1.01754,-1.7175,-0.935194,-0.815292
ZDHHC12,1.31941,0.576349,1.4896,1.15575,0.692796,0.425838,0.263111,-0.152829,0.319346,-0.297499,-1.13667,-1.17585,-0.579845,-1.77649,-1.12301
ZDHHC9,1.17811,1.34526,1.60503,0.175698,0.424472,-0.131779,-0.426819,0.613344,0.25572,0.0339502,-1.33878,-1.2898,-0.919533,-1.73938,0.214511
ZFYVE26,1.23873,1.86359,0.706465,0.595442,0.623073,0.972696,0.332836,-0.14198,-1.04483,-0.49491,-0.548818,-0.598939,-1.73139,-1.11993,-0.652033
ZMYND8,1.52494,1.70539,1.03652,0.829971,0.506583,0.648745,0.0321332,0.0198939,-0.712799,-0.841293,-0.677756,-0.687393,-1.4755,-1.25159,-0.657843
ZNF146,2.43415,1.22831,1.19799,0.152856,0.166656,-0.433531,-0.344872,0.0952928,-0.187814,-0.356192,0.188932,-0.933029,-0.874171,-0.846195,-1.48838
ZNF175,1.88758,1.48578,1.26133,0.903751,0.384417,0.328429,-0.505243,-0.226131,-0.608147,-0.652742,-0.607738,-1.07094,-1.33633,-1.06248,-0.181543
ZNF224,2.08931,1.79805,0.570415,0.257438,0.575272,0.411768,-0.369838,-0.450479,-0.692511,-0.751755,0.310802,-1.02515,-1.35227,-1.00892,-0.362135
ZNF234,1.71923,1.61247,1.10816,-0.0916871,0.612508,0.100263,-0.938058,-0.152295,-0.399141,-0.99381,0.127366,-1.46091,-0.952514,-1.06017,0.768578
ZNF24,1.41525,1.71028,1.38575,0.667597,0.43847,0.0386623,0.255132,0.0978032,-0.618251,-0.785583,-0.126448,-1.44647,-1.33332,-0.615831,-1.08305
ZNF326,2.37399,1.58745,0.994874,0.0171876,-0.0420767,-0.0143243,-0.565753,0.013875,0.00625891,-0.397093,0.140064,-0.994138,-1.0766,-1.26556,-0.778157
ZNF330,1.19038,1.68,1.48754,0.819682,0.198719,0.452261,0.157748,-0.196006,-0.159642,-0.579224,-0.480965,-1.07194,-1.34238,-1.66999,-0.486187
ZNF366,1.91877,1.51981,1.21497,0.885645,0.872124,-0.350022,-0.272214,-0.427883,-0.762489,-1.20749,-0.871261,-0.620752,-1.00033,-0.547417,-0.351453
ZNF397,1.5997,1.2148,0.974209,0.7266,0.822185,0.994549,-0.173422,-0.191764,-0.737686,-1.12368,-0.106912,-1.48913,-0.994565,-1.29773,-0.217157
ZNF431,2.56061,1.52442,0.623498,0.531059,0.0731769,-0.0905845,-0.570001,-0.396235,-0.855753,-0.458364,0.0574841,-0.131419,-1.04589,-1.25487,-0.567118
ZNF440,1.59173,1.5326,0.774954,0.850281,0.096943,0.990151,-0.596897,0.381885,-0.0445608,-0.695801,-0.11942,-1.36346,-1.12352,-1.3529,-0.921978
ZNF441,2.33949,1.44758,0.750936,1.06365,0.244698,0.139489,-0.355183,-0.217443,-0.518839,-0.979872,-0.585746,-0.715626,-0.585341,-1.00694,-1.02086
ZNF45,1.69498,1.30289,0.798821,1.00797,-0.172777,0.501283,0.345958,0.0691925,-0.312136,-0.0110385,-0.812502,-0.646496,-0.267264,-1.77779,-1.72109
ZNF480,1.80977,1.5656,1.47158,0.252668,0.038332,0.146642,0.134543,0.171369,-0.986398,-0.479427,-0.0302625,-1.13183,-0.829231,-1.57941,-0.55395
ZNF496,1.49316,1.3414,0.649096,0.923032,1.47936,0.814577,-0.280645,-0.206891,-0.814867,-0.616403,-0.847693,-0.971867,-1.19306,-1.00435,-0.764855
ZNF569,2.25891,1.07245,0.853864,1.17612,-0.0701146,-0.558313,-1.66716,0.230139,-0.102622,-0.126886,-0.655594,-1.1606,-0.415769,-0.701268,-0.133158
ZNF585A,1.31126,1.46725,0.976661,1.36696,0.82359,0.216845,-0.543141,0.368546,-1.09654,-0.85015,-0.0385723,-0.871795,-0.875475,-0.851552,-1.40389
ZNF593,1.39722,2.16424,0.996525,0.961092,0.343617,-0.48559,-1.15263,0.117921,-0.0617253,-0.549637,-0.692258,-0.741779,-0.550602,-1.41507,-0.331326
ZNF616,2.26084,1.00947,1.28364,0.0732535,0.259279,0.114961,-0.0787774,0.472349,-0.518646,-0.391363,-0.0613664,-1.14912,-1.45268,-0.469082,-1.35276
ZNF654,1.20138,1.66599,1.14456,0.868656,0.383125,0.718691,-0.282856,-0.0248452,-0.414269,-0.27915,-0.354781,-1.89026,-0.318925,-1.22755,-1.18977
ZNF684,1.61019,1.6462,0.620025,0.931897,1.25944,0.469989,-0.418833,-0.066813,-0.586092,-0.755643,-0.97704,-0.974386,-0.664183,-1.00361,-1.09114
ZNF699,1.83297,1.25402,1.18145,0.559826,0.79562,0.459254,-0.012217,0.0914413,-0.519363,-0.60204,-0.626349,-1.14181,-0.939287,-1.70195,-0.631559
ZNF766,1.82339,1.19021,1.29783,0.656559,0.0893883,0.125098,-0.339702,0.127992,-0.0771782,0.0565558,-0.423904,-0.75051,-0.531172,-1.03493,-2.20963
ZNF792,2.44776,1.27271,0.82079,0.582836,0.407877,0.199761,-0.750448,-0.211934,-0.597775,-0.641432,-0.440146,-0.846829,-1.40045,-0.952847,0.11012
ZNF888,1.43997,1.78211,1.41126,0.51324,0.0790191,0.754942,-0.261287,-0.191541,-0.10039,-0.692097,-0.699631,-0.881668,-0.686684,-0.712425,-1.75482
ZRSR2,2.13964,0.943916,-0.0995786,-0.221561,-0.206711,0.843232,0.0858948,0.422409,0.283755,0.116715,0.150875,-0.845456,0.0305268,-1.99741,-1.64624
ZSCAN30,1.65495,0.914023,0.688241,1.08198,1.38898,0.138401,-0.356016,-0.383811,-0.723109,-0.32156,-0.890873,-0.795734,-0.94812,-1.85491,0.407556
ABCC2,0.915268,0.720447,0.843215,0.904492,0.251046,1.18393,0.607358,-0.23906,0.27046,0.0579336,0.00402735,-0.392168,-2.0687,-1.66531,-1.39294
ABHD16A,0.256211,1.01578,1.22711,1.15879,1.13733,1.35535,0.0858047,-0.7219,-0.951703,-0.528486,0.158604,-0.721281,-1.21436,-0.56195,-1.6953
ACBD3,1.35748,0.939438,1.37873,0.24174,0.316657,-0.347887,0.0940377,0.786427,0.727486,0.348928,-0.755735,-0.685787,-1.43322,-1.08738,-1.88091
ACER2,1.21069,1.56982,0.511022,0.389597,0.592024,1.15208,-0.107555,-0.299308,-0.419616,0.458061,-0.118645,-0.279755,-1.22489,-1.76627,-1.66725
ACER3,1.62232,0.616327,1.01998,1.01549,1.24913,0.312662,0.358253,0.124815,-0.60224,-0.656351,-0.900169,-0.858624,-0.49715,-0.857241,-1.9472
ACOT13,0.906888,1.28076,1.26918,0.90508,0.271188,0.390893,0.343767,0.381751,-0.234141,-0.206245,-0.11071,-1.22275,-0.448233,-1.22061,-2.30682
ACOT9,1.78269,1.20309,0.354089,0.617804,1.11724,0.940116,0.25658,-0.057562,-0.4901,-0.654043,-0.585521,-0.904144,-0.877772,-0.895187,-1.80727
ACSL3,1.20961,1.06541,0.809706,0.927252,1.33174,0.899673,0.320748,-0.135199,-0.215802,-0.491809,-0.856532,-0.994945,-1.07918,-1.15905,-1.63161
ACTA2,1.35199,0.519763,0.640665,0.819875,0.689171,1.34741,-0.675367,0.442982,-0.368241,-0.825307,0.404506,-0.249534,-0.568273,-1.38948,-2.14016
ADAR,1.09699,1.1769,0.574821,0.935745,1.06573,1.23641,0.379818,-0.035236,-0.45666,-0.554416,-0.713281,-0.965093,-0.93884,-0.840266,-1.96263
ADCY4,-0.326067,0.954926,1.1872,1.17739,1.06445,1.53991,0.197626,-0.105801,-0.575261,-1.02137,-0.689226,-0.458581,-1.21486,-1.75935,0.0290207
AFF4,0.65738,1.34971,1.1474,0.455603,0.997426,0.602298,0.572957,-0.106581,-0.136087,-0.252358,-0.263145,-0.195093,-1.00635,-1.82723,-1.99593
AIFM1,1.60186,0.824611,1.11443,0.0848435,0.283989,0.412408,0.0187457,0.827956,0.37267,0.135288,-0.186968,-0.734977,-1.67242,-1.16153,-1.9209
AIM1,0.630695,1.10033,0.984393,0.633039,0.924907,0.283978,0.795009,0.495175,-0.00911827,0.0509487,-0.534399,-0.37638,-1.2599,-1.4873,-2.23138
AIM2,1.42679,1.09125,0.432355,0.779044,1.10741,1.02137,0.330355,-0.0685504,-0.359465,-0.429741,-0.640275,-0.935535,-0.784476,-0.788939,-2.18159
AKAP2,1.99871,0.141736,0.345625,0.920046,0.524415,0.0990078,0.0709373,0.102954,0.317914,0.668423,-0.647625,-0.0827184,-1.13142,-0.983335,-2.34467
ALAS1,0.85062,0.98122,0.628375,-0.0319178,0.474236,1.22248,0.834239,0.995113,0.324773,-0.0573512,-0.78133,-0.915184,-1.62218,-1.68603,-1.21706
ALDH1A2,0.729504,1.03638,0.306271,0.828419,0.955731,1.16747,0.763703,0.4706,0.144362,-0.442312,-0.300514,-1.51834,-1.69957,-1.0613,-1.3804
ALDH1L2,1.391,0.818887,0.590357,0.208861,0.318868,0.441527,0.0991088,0.997763,0.957297,0.550984,-0.931222,-1.04604,-1.68163,-1.31595,-1.39981
ALG1,1.06997,0.737094,0.71276,0.17361,0.513838,0.439818,-0.334089,0.645024,0.975156,0.897399,-0.188387,-0.876985,-1.77951,-0.943363,-2.04233
ALG11,1.55436,1.05397,0.382746,0.9855,0.88208,0.63257,-0.0429407,0.494058,0.251728,-0.754771,-0.100618,-1.18978,-1.29738,-1.17707,-1.67446
ALG6,0.758962,1.2913,1.19942,0.668679,0.45909,1.11226,-0.0682723,0.602418,-0.26866,-0.130435,-0.160749,-1.4496,-0.789825,-1.52241,-1.70218
ALOX12,0.676719,1.20539,1.05137,1.0573,0.551503,0.874548,0.269531,-0.0798484,-0.3975,-0.000991497,-0.124372,-0.930067,-0.640597,-1.01543,-2.49757
AMPD1,1.29675,0.233187,0.81601,0.476097,0.720819,0.596987,0.0297294,-0.0362213,0.45393,1.33581,-0.178294,-1.1893,-1.81563,-1.31177,-1.4281
ANG,0.227077,0.374092,1.75441,0.679031,0.783348,0.321152,0.977641,0.00311311,0.653468,-0.0094772,-0.331283,-1.65028,-1.52284,-0.647534,-1.61191
ANKRD22,1.19397,0.652968,0.794122,0.983338,1.12996,0.860009,0.514113,0.0533672,-0.301538,-0.417483,-0.784539,-0.935722,-0.480549,-0.938445,-2.32357
ANO5,1.11725,0.683904,1.01629,1.10091,1.19425,0.789006,0.109164,-0.0939528,-0.123553,-0.615663,0.129545,-1.10125,-0.855557,-1.64749,-1.70284
AP1G1,1.20944,1.04301,0.995448,0.536853,0.975818,0.241504,0.832458,0.387811,-0.109633,-0.126228,-0.617712,-0.633707,-1.69798,-1.44746,-1.58963
AP1M2,1.32308,1.51757,0.281496,1.32949,0.432702,0.703331,0.0152835,0.153195,-0.304122,-0.6064,-0.985998,-0.576816,-1.35156,0.0185824,-1.94984
AP4E1,0.748526,0.862759,1.60029,0.477066,0.734107,0.725155,-0.0537903,0.40059,-0.435001,-0.000751765,-0.152423,-0.512004,-0.980183,-2.54815,-0.866185
APPBP2,0.874608,1.62914,1.39775,0.734177,0.504627,0.699564,0.0530079,0.0992792,0.0824129,-0.290573,-0.85849,-0.77469,-1.1309,-1.33068,-1.68923
ARCN1,1.28652,0.610781,1.26609,0.223144,0.576078,0.186818,0.589442,0.800406,0.689851,0.0693532,-0.943953,-1.01186,-1.12396,-1.35913,-1.85958
ARHGAP18,1.69445,0.901987,0.580857,0.662096,0.399003,0.741667,0.611601,0.000907698,-0.122172,-0.00742681,-0.0438652,-0.717559,-1.03231,-1.58255,-2.08668
ARHGAP6,1.30278,0.902366,-0.0178198,0.94431,0.554609,0.949201,0.3152,-0.131807,-0.12906,-0.419263,0.296227,-0.517923,-0.183171,-1.15257,-2.71307
ARID5B,1.52742,1.15236,1.01881,0.6108,0.851632,0.47146,0.2852,0.0343613,-0.185998,-0.0883465,-0.437008,-0.547508,-1.55902,-1.46039,-1.67378
ARL15,0.966287,1.37651,0.401117,1.17369,0.820759,1.37951,0.205669,-0.566736,-0.603645,-0.194504,-0.215601,-1.29569,-1.61922,-0.544979,-1.28317
ARL8A,0.770784,1.43507,1.21438,0.546909,0.888066,1.07609,0.56907,0.0787411,-0.528111,-0.307424,-0.741842,-1.26348,-1.00733,-1.4923,-1.23862
ARL8B,1.55142,1.04823,1.34526,0.561019,0.731746,0.474933,0.422612,0.0159188,-0.180221,-0.385698,-0.467651,-1.07166,-0.917328,-1.29407,-1.83452
ARMC7,-0.213121,1.25977,1.93443,1.54118,0.702009,0.306271,-0.630934,-0.32543,-0.126331,-0.792246,-0.181274,-1.04058,-1.52022,0.122926,-1.03645
ARMCX3,0.37444,1.57744,0.808977,0.405821,1.02821,0.850172,0.0387878,0.728498,0.275999,0.026083,-0.720091,-1.26486,-1.14108,-1.8667,-1.12171
ARNTL2,1.18121,0.26288,0.865633,-0.424391,0.904235,0.561298,0.997938,0.347259,0.963008,0.0597868,-0.458341,-0.557993,-1.40711,-1.15029,-2.14512
ARSB,0.778201,1.15551,0.985451,0.757524,1.15048,0.880466,0.318645,0.264482,0.0230119,-0.354765,-0.671387,-0.67947,-1.36153,-1.42195,-1.82466
ASPHD2,0.444685,1.07703,1.03615,0.746168,0.942042,1.26403,-0.270785,0.251862,0.08672,-0.202112,-0.625703,-0.406929,-0.516419,-1.60045,-2.22628
ATG10,1.21424,0.152797,0.16708,1.20885,0.804161,0.724358,-0.115739,0.692011,-0.931659,0.481376,0.357519,-0.596719,-0.271779,-1.67914,-2.20735
ATP11B,0.200632,1.14724,0.650655,0.656719,1.44665,1.08989,1.12003,0.132547,-0.384878,-0.481139,-0.536503,-0.980343,-1.33832,-1.5948,-1.12838
ATP2A2,0.327663,0.32424,1.00649,0.38927,0.610796,0.119604,0.839649,1.00237,0.906395,0.374663,-0.608102,-0.180099,-1.69699,-2.18102,-1.23493
B3GNT2,0.872239,1.01889,1.32598,0.916982,0.883778,1.09266,0.288213,-0.178961,-0.387606,-0.241752,-0.346307,-1.30872,-1.5691,-1.50626,-0.860036
BAG4,0.734908,1.39445,1.08144,0.346464,1.00114,0.379092,0.527062,0.53018,-0.0280014,-0.374591,-0.388618,-1.53779,-1.34825,-0.333839,-1.98364
BAK1,1.7233,0.921404,0.788968,0.963686,0.568723,0.310633,0.309172,0.120521,0.255089,-0.227031,-0.608847,-0.821897,-1.08097,-1.07488,-2.14788
BAMBI,1.87658,1.02092,0.789136,0.850712,0.603011,0.887381,-0.117621,0.0322085,-0.182749,-0.503623,-0.566783,-0.602767,-1.2067,-1.02171,-1.858
BATF,1.3366,0.797455,1.54533,0.826881,0.929003,0.736389,-0.013166,-0.579366,0.0830523,-0.230484,-0.406898,-1.31115,-1.15832,-0.950997,-1.60432
BCL10,1.34053,1.20717,1.15106,0.436341,0.902592,0.319094,0.502146,0.117896,0.0030056,-0.0750893,-0.429422,-1.15727,-1.85438,-1.38173,-1.08195
BCL2A1,1.37206,1.06715,0.631877,1.03515,1.17565,0.788776,0.264067,0.0227239,-0.338323,-0.561011,-1.00948,-1.48054,-0.570132,-0.654545,-1.74343
BEND5,0.321932,1.26974,2.44977,-0.0339513,-0.410404,-0.209016,0.589976,0.131759,-0.0241995,-0.288733,0.203411,-0.256136,-1.89005,-0.593896,-1.2602
BHLHA15,0.588558,1.01533,0.914759,0.670566,0.236428,0.36663,-0.265872,0.986849,1.16849,0.460348,-0.612957,-0.791969,-1.47777,-1.74268,-1.51671
BLNK,1.10691,1.12806,1.25219,0.0797898,0.119379,0.0882685,0.493326,0.927515,0.626046,0.263336,-0.504695,-1.14588,-1.78503,-1.52168,-1.12753
BMP8B,1.52714,0.455032,0.120598,1.61747,-0.0635606,0.277754,-0.397094,-0.175378,0.576652,0.298719,-0.286655,0.331383,-1.35662,-0.506919,-2.41852
BRCA1,0.937161,1.65383,0.842985,0.81678,0.542245,1.04298,-0.0252508,0.485697,-0.0165142,-0.568029,-0.618534,-1.2584,-0.936665,-1.55866,-1.33963
BROX,0.197682,1.35644,0.831942,0.811779,0.948659,1.1415,1.18473,-0.149867,-0.598573,-0.0660661,-0.711592,-1.02661,-1.08583,-1.52327,-1.31092
BTBD8,0.835525,1.53028,0.872252,0.88044,0.8257,0.94233,0.0924184,0.153738,-0.409841,-0.607499,-0.27905,-0.633229,-0.997493,-1.02249,-2.18308
BTN3A1,0.957245,1.07929,0.60436,0.978804,0.538963,1.42094,0.562021,0.153511,-0.447396,-0.425831,-0.277084,-0.826566,-1.54357,-1.92258,-0.852117
BUB1,0.996623,0.665982,0.871524,0.231489,0.349112,0.3544,0.478556,1.28202,0.715002,0.111012,-0.638814,-0.470043,-1.64938,-2.04892,-1.24856
BVES,0.533006,1.1422,1.63416,0.252132,0.519269,0.830685,0.194974,0.67942,0.693424,-0.563167,-1.05249,-0.859169,-1.29455,-1.69138,-1.01853
C11orf68,0.510067,1.42421,1.17806,1.1543,0.633019,1.12905,0.0274882,-0.202014,-0.187352,-0.466709,-0.471815,-0.964585,-1.0947,-0.590167,-2.07884
C18orf21,1.35891,0.924473,1.0273,0.746385,0.507415,0.400069,0.452117,0.647567,-0.0847834,-0.193626,-0.273496,-0.946949,-0.973599,-2.13534,-1.45644
C1GALT1,1.63996,1.26814,0.464539,0.937422,1.19863,0.91294,-0.124375,-0.194455,-0.502772,-0.619831,-0.772487,-1.21317,-0.501032,-0.915843,-1.57767
C1QBP,1.43622,1.02451,1.35165,0.0847119,0.325224,-0.508822,0.275958,0.876888,0.482591,0.143338,-0.381235,-0.911083,-0.914493,-1.20601,-2.07946
C2CD3,0.730958,1.31424,0.953045,1.02708,0.60356,1.10116,0.0833359,0.155198,-0.865509,-0.297611,-0.325159,-0.132204,-1.37639,-2.1554,-0.8163
C2orf74,0.630229,1.57676,0.201957,1.99116,0.72396,0.517085,-1.04424,0.618296,-0.094322,-0.713568,-0.872781,-0.825303,-0.362916,-1.20168,-1.14464
C4orf32,1.32356,1.06891,1.00081,1.10453,0.957537,0.55146,0.103794,0.0461422,-0.307363,-0.211359,-0.542369,-0.81795,-1.02038,-1.31122,-1.9461
C4orf33,0.246167,1.86342,-0.029809,1.18133,1.39113,1.08905,-0.327226,0.145426,-0.157584,-0.705916,-0.935566,-0.521618,-0.647953,-0.862689,-1.72816
C5orf56,0.861101,1.36291,-0.0115423,1.01471,1.29359,1.70537,-0.390524,-0.48679,-0.92829,-0.641149,-0.746118,-0.208322,-0.635658,-0.491863,-1.69742
C6orf47,-0.322102,0.913512,1.87555,0.986723,0.720055,1.28156,0.258944,0.00772327,-0.46367,-1.04093,-0.255751,-0.897663,-0.46212,-1.83682,-0.765008
C7orf61,0.743331,1.01676,-0.0994196,0.36867,0.915281,1.13195,-0.0338546,-0.611258,-0.221431,-1.05058,-1.35707,-1.03392,-0.0672473,1.83187,-1.53309
CALML4,1.3231,0.75656,1.02064,0.727337,0.940617,1.03067,0.562022,-0.0311492,0.0295194,-0.508328,-0.721321,-1.33063,-1.29058,-0.764096,-1.74437
CALR,1.41321,0.790309,1.01626,0.717059,0.589041,0.177772,0.270016,0.579002,0.687951,-0.0300244,-0.809866,-0.669239,-1.63034,-1.54655,-1.5546
CALU,0.801242,0.19173,1.03753,0.306231,0.570001,0.0561274,0.862898,1.20921,0.92329,0.226984,-0.668986,-0.700121,-1.45049,-1.62462,-1.74103
CAPG,1.23433,0.822133,0.890358,1.14496,0.558362,0.53048,0.20846,0.0470959,-0.382947,-0.0590744,-0.553934,-1.05998,-0.453473,-0.240922,-2.68585
CARD16,0.733696,1.19182,0.313521,0.822991,1.20893,1.22061,0.567398,0.0212694,-0.348005,-0.253504,-0.503953,-1.02536,-0.64652,-1.09085,-2.21205
CASP1,1.32135,1.13103,0.286567,0.738402,1.18802,1.02803,0.367378,-0.0964506,-0.236823,-0.38948,-0.454319,-1.15496,-0.549845,-1.02741,-2.15149
CASP3,0.865735,0.864541,0.72223,1.06274,0.997615,0.430501,0.0980708,0.691173,0.150571,0.0587731,-0.206534,-1.66106,-0.630542,-1.60205,-1.84176
CCDC174,-0.0629495,1.37198,1.29677,1.26649,1.15746,0.590375,-0.379118,0.244352,0.0343655,-0.0795482,-0.574713,-1.19859,-1.89139,-0.822693,-0.952793
CCDC93,1.71674,1.02295,0.540013,-0.278449,0.873617,1.56017,0.432619,-0.226056,-0.733676,-0.414241,-0.0252152,-0.7381,-1.05918,-0.977262,-1.69394
CCL11,1.86652,0.54393,0.0339769,-0.361997,0.342439,0.204454,-0.236462,1.07179,0.130274,0.236459,-0.732451,-0.661428,0.478213,-0.193313,-2.7224
CCNB1,1.00058,0.915974,0.920767,0.647804,0.275151,2.06E-05,0.306489,1.17342,0.89226,-0.228388,-0.780777,-0.689442,-1.02687,-1.17704,-2.22995
CCND3,0.643255,1.51209,0.84118,1.10343,1.21443,0.784371,-0.10713,-0.117344,-0.509362,-0.306841,-0.408785,-0.344974,-1.79338,-1.6097,-0.901255
CCP110,1.51981,0.914366,0.952238,0.50993,0.867951,0.913726,0.293055,0.142489,-0.229198,-0.300947,-0.427316,-0.852913,-0.844462,-1.3792,-2.07953
